CustomerID,Age,Gender,Location,MembershipLevel,TotalPurchases,TotalSpent,FavoriteCategory,LastPurchaseDate,Churn,Occupation,WebsiteVisitFrequency
25,43,Female,Philadelphia,Gold,68,2591.7,Sports,2023-03-07,0,Part-Time Employed,68
26,31,Female,San Jose,Bronze,45,3080.14,Sports,2023-03-04,1,Full-Time Employed,45
27,26,Female,Phoenix,Gold,91,286.29,Electronics,2023-07-30,0,Part-Time Employed,91
28,27,Male,New York,Platinum,92,729.11,Electronics,2023-07-29,0,Part-Time Employed,92
29,38,Male,Los Angeles,Platinum,3,373.37,Clothing,2023-07-17,0,Part-Time Employed,3
30,69,Female,San Antonio,Gold,61,4534.5,Clothing,2023-10-07,0,Retired,61
31,34,Male,New York,Gold,67,760.5,Sports,2023-08-22,0,Part-Time Employed,67
32,69,Female,Los Angeles,Gold,24,4263.4,Books,2023-12-19,0,Retired,24
33,23,Male,New York,Gold,29,1820.07,Electronics,2023-09-16,0,Part-Time Employed,29
34,33,Male,Houston,Gold,54,4022.93,Clothing,2023-08-08,0,Full-Time Employed,54
35,65,Female,Philadelphia,Platinum,19,1888.71,Sports,2023-04-24,0,Retired,19
36,18,Female,Los Angeles,Silver,60,1411.65,Books,2023-12-30,0,Student,60
37,36,Female,Houston,Gold,66,558.94,Home Goods,2023-06-12,0,Part-Time Employed,66
38,53,Female,New York,Silver,69,1475.46,Books,2023-08-09,1,Part-Time Employed,69
39,42,Female,Phoenix,Gold,37,2410.25,Electronics,2023-10-15,0,Part-Time Employed,37
40,67,Male,San Diego,Silver,82,4105.79,Books,2023-09-10,0,Retired,82
41,69,Female,Dallas,Platinum,25,2317.32,Electronics,2023-09-12,0,Retired,25
42,47,Female,Houston,Bronze,90,4860.03,Home Goods,2023-12-13,1,Full-Time Employed,90
43,37,Female,Los Angeles,Silver,77,2754.0,Books,2023-02-25,0,Part-Time Employed,77
44,37,Male,San Antonio,Platinum,35,222.23,Home Goods,2023-08-19,0,Part-Time Employed,35
45,32,Male,Chicago,Silver,86,2135.3,Electronics,2023-11-12,0,Part-Time Employed,86
46,57,Female,San Jose,Platinum,57,3475.61,Electronics,2023-02-19,0,Full-Time Employed,57
47,50,Female,Los Angeles,Bronze,64,1248.03,Electronics,2023-05-22,0,Part-Time Employed,64
48,19,Female,New York,Platinum,74,3523.29,Sports,2023-12-12,1,Student,74
49,27,Female,Dallas,Gold,37,2568.12,Electronics,2023-11-25,1,Part-Time Employed,37
50,50,Female,New York,Gold,42,226.12,Clothing,2023-03-21,0,Part-Time Employed,42
51,49,Female,Dallas,Silver,7,3894.33,Books,2023-06-25,0,Full-Time Employed,7
52,28,Female,Houston,Gold,18,2845.83,Sports,2023-08-22,0,Part-Time Employed,18
53,41,Male,San Diego,Gold,32,504.22,Home Goods,2023-08-26,0,Part-Time Employed,32
54,53,Female,New York,Bronze,7,2428.55,Home Goods,2023-06-24,0,Part-Time Employed,7
55,29,Male,Phoenix,Gold,51,1507.74,Clothing,2023-10-31,0,Part-Time Employed,51
56,68,Male,San Jose,Gold,17,4410.44,Books,2023-02-20,1,Retired,17
57,46,Female,San Diego,Silver,31,1496.14,Clothing,2023-01-25,0,Part-Time Employed,31
58,52,Female,Philadelphia,Gold,29,4714.27,Books,2023-09-03,0,Full-Time Employed,29
59,18,Female,Dallas,Gold,76,2776.05,Home Goods,2023-03-31,0,Student,76
60,18,Female,Dallas,Platinum,33,1685.71,Clothing,2023-12-03,1,Student,33
61,54,Male,Chicago,Platinum,90,4086.37,Home Goods,2023-03-11,1,Full-Time Employed,90
62,23,Female,Los Angeles,Silver,39,3517.26,Books,2023-02-27,1,Full-Time Employed,39
63,56,Female,Los Angeles,Silver,30,2128.42,Clothing,2023-05-23,0,Part-Time Employed,30
64,58,Female,Philadelphia,Silver,3,3185.13,Clothing,2023-07-14,0,Full-Time Employed,3
65,35,Female,San Antonio,Gold,84,3915.06,Sports,2023-02-08,0,Full-Time Employed,84
66,33,Male,San Jose,Gold,77,4272.63,Sports,2023-01-10,0,Full-Time Employed,77
67,22,Female,Philadelphia,Gold,19,4100.42,Books,2023-12-10,0,Full-Time Employed,19
68,59,Female,Dallas,Gold,65,913.78,Books,2023-04-15,1,Part-Time Employed,65
69,60,Male,Dallas,Gold,42,4159.11,Clothing,2023-01-25,1,Full-Time Employed,42
70,49,Female,Phoenix,Gold,23,387.28,Sports,2023-09-04,1,Part-Time Employed,23
71,19,Female,San Jose,Platinum,18,1080.84,Books,2023-02-10,0,Student,18
72,19,Female,Chicago,Silver,43,3152.34,Clothing,2023-10-08,0,Student,43
73,57,Male,New York,Silver,5,661.99,Books,2023-05-13,0,Part-Time Employed,5
74,59,Female,Dallas,Gold,5,3056.4,Electronics,2023-02-15,1,Full-Time Employed,5
75,53,Male,San Jose,Bronze,19,1609.03,Sports,2023-12-06,0,Part-Time Employed,19
76,56,Female,San Jose,Platinum,70,2204.39,Books,2023-11-19,0,Part-Time Employed,70
77,29,Female,San Diego,Silver,15,1644.24,Home Goods,2023-09-10,0,Part-Time Employed,15
78,64,Male,San Antonio,Platinum,11,443.85,Clothing,2023-10-04,0,Retired,11
79,36,Female,Houston,Gold,51,2553.72,Clothing,2023-05-29,0,Part-Time Employed,51
80,45,Male,San Antonio,Platinum,94,4821.64,Sports,2023-03-02,0,Full-Time Employed,94
81,18,Female,Philadelphia,Silver,84,3097.74,Sports,2023-05-02,1,Student,84
82,32,Female,San Antonio,Platinum,35,1570.16,Clothing,2023-05-03,0,Part-Time Employed,35
83,53,Female,New York,Platinum,4,4785.13,Books,2023-02-03,1,Full-Time Employed,4
84,30,Female,San Antonio,Bronze,9,2007.26,Sports,2023-01-19,0,Part-Time Employed,9
85,60,Male,San Diego,Platinum,91,3517.84,Sports,2023-06-26,0,Full-Time Employed,91
86,38,Female,Phoenix,Silver,83,3207.15,Clothing,2023-02-18,0,Full-Time Employed,83
87,29,Female,Chicago,Silver,69,4769.26,Clothing,2023-07-31,0,Full-Time Employed,69
88,22,Female,San Diego,Silver,8,4581.55,Books,2023-03-14,0,Full-Time Employed,8
89,24,Female,San Jose,Silver,94,825.22,Clothing,2023-07-24,0,Part-Time Employed,94
90,22,Female,Los Angeles,Gold,36,519.86,Electronics,2023-03-13,0,Part-Time Employed,36
91,65,Male,San Diego,Bronze,80,4067.25,Books,2024-01-04,0,Retired,80
92,21,Female,Phoenix,Gold,47,4534.22,Home Goods,2023-06-29,0,Student,47
93,30,Female,Dallas,Silver,46,2515.57,Books,2023-12-31,0,Part-Time Employed,46
94,54,Female,Dallas,Platinum,68,3484.73,Electronics,2023-08-16,0,Full-Time Employed,68
95,58,Female,New York,Silver,59,441.96,Home Goods,2023-08-21,0,Part-Time Employed,59
96,32,Female,Philadelphia,Silver,4,1177.04,Books,2023-10-30,1,Part-Time Employed,4
97,33,Female,San Antonio,Bronze,71,831.94,Clothing,2023-12-06,0,Part-Time Employed,71
98,38,Male,Chicago,Bronze,67,3045.69,Home Goods,2023-08-07,0,Full-Time Employed,67
99,53,Female,Philadelphia,Platinum,25,1067.95,Sports,2023-02-02,0,Part-Time Employed,25
100,41,Male,Dallas,Gold,56,393.25,Clothing,2023-08-20,1,Part-Time Employed,56
101,33,Male,Houston,Silver,60,1580.82,Books,2023-11-19,0,Part-Time Employed,60
102,31,Female,San Antonio,Bronze,36,3418.34,Clothing,2023-07-13,0,Full-Time Employed,36
103,39,Female,Chicago,Platinum,4,2931.53,Clothing,2023-02-13,0,Part-Time Employed,4
104,66,Female,New York,Silver,72,1720.55,Clothing,2023-12-15,0,Retired,72
105,67,Female,Phoenix,Gold,28,4184.05,Sports,2023-05-15,0,Retired,28
106,23,Male,Houston,Gold,67,1453.72,Clothing,2023-03-28,0,Part-Time Employed,67
107,59,Female,San Antonio,Bronze,72,1376.68,Sports,2023-03-17,0,Part-Time Employed,72
108,53,Female,San Antonio,Gold,11,2843.74,Books,2023-07-25,1,Part-Time Employed,11
109,18,Female,Philadelphia,Platinum,64,2443.26,Electronics,2023-04-17,1,Student,64
110,49,Female,Chicago,Bronze,6,2285.27,Sports,2023-12-22,0,Part-Time Employed,6
111,23,Female,San Diego,Silver,41,863.35,Clothing,2023-11-29,0,Part-Time Employed,41
112,48,Female,San Diego,Bronze,87,2572.77,Sports,2023-03-24,0,Part-Time Employed,87
113,18,Male,Chicago,Platinum,53,1369.19,Home Goods,2023-10-25,1,Student,53
114,67,Female,San Diego,Platinum,44,2021.68,Books,2023-02-12,0,Retired,44
115,68,Female,Houston,Gold,66,3694.5,Clothing,2023-10-10,0,Retired,66
116,54,Male,Phoenix,Silver,7,4690.63,Home Goods,2023-02-25,0,Full-Time Employed,7
117,52,Female,San Diego,Platinum,29,3891.93,Home Goods,2023-10-30,0,Full-Time Employed,29
118,66,Female,Dallas,Gold,6,2087.61,Sports,2023-01-07,1,Retired,6
119,47,Female,San Jose,Silver,75,3005.86,Home Goods,2023-01-10,0,Full-Time Employed,75
120,21,Female,Los Angeles,Silver,8,3757.84,Clothing,2023-03-02,0,Student,8
121,52,Female,Chicago,Platinum,30,2129.68,Home Goods,2023-03-19,0,Part-Time Employed,30
122,60,Female,San Jose,Silver,83,1865.22,Home Goods,2023-06-10,0,Part-Time Employed,83
123,31,Female,San Antonio,Silver,48,762.69,Sports,2023-07-28,1,Part-Time Employed,48
124,66,Female,San Diego,Gold,61,3707.68,Clothing,2023-06-08,0,Retired,61
125,57,Female,San Jose,Bronze,64,4208.69,Electronics,2023-03-24,0,Full-Time Employed,64
126,39,Male,Philadelphia,Silver,67,1651.26,Books,2023-10-11,1,Part-Time Employed,67
127,27,Female,Houston,Gold,42,3939.19,Electronics,2024-01-02,0,Full-Time Employed,42
128,18,Female,San Antonio,Gold,30,3090.04,Electronics,2024-01-05,0,Student,30
129,28,Female,Philadelphia,Gold,97,3942.01,Clothing,2023-03-23,0,Full-Time Employed,97
130,68,Female,Phoenix,Platinum,50,2115.55,Clothing,2023-05-18,0,Retired,50
131,61,Female,Los Angeles,Platinum,61,3763.12,Home Goods,2023-04-17,1,Retired,61
132,41,Female,Philadelphia,Bronze,53,2101.69,Books,2023-06-22,0,Part-Time Employed,53
133,20,Female,San Jose,Platinum,26,534.91,Sports,2023-08-15,0,Student,26
134,52,Male,San Diego,Gold,37,2797.84,Clothing,2023-09-18,0,Part-Time Employed,37
135,53,Male,Dallas,Gold,20,2326.21,Clothing,2023-05-16,0,Part-Time Employed,20
136,48,Male,Los Angeles,Bronze,97,1339.11,Home Goods,2023-10-22,1,Part-Time Employed,97
137,21,Male,Philadelphia,Gold,92,4471.36,Books,2023-04-30,0,Student,92
138,36,Female,Chicago,Platinum,27,1975.98,Sports,2023-03-22,0,Part-Time Employed,27
139,64,Female,Houston,Gold,57,291.72,Books,2023-12-04,0,Retired,57
140,53,Female,Chicago,Bronze,57,1972.47,Books,2023-02-21,1,Part-Time Employed,57
141,38,Female,San Jose,Bronze,29,2180.1,Home Goods,2023-03-09,0,Part-Time Employed,29
142,35,Female,San Antonio,Bronze,46,4322.02,Electronics,2023-07-05,0,Full-Time Employed,46
143,68,Female,Dallas,Silver,88,4016.0,Clothing,2023-02-17,1,Retired,88
144,45,Female,San Antonio,Platinum,83,1079.84,Electronics,2023-02-27,0,Part-Time Employed,83
145,32,Female,Houston,Bronze,6,4211.24,Electronics,2023-12-05,0,Full-Time Employed,6
146,59,Male,Phoenix,Silver,66,1314.84,Electronics,2023-10-17,0,Part-Time Employed,66
147,19,Female,Los Angeles,Platinum,86,1775.48,Home Goods,2023-06-21,0,Student,86
148,54,Female,Philadelphia,Silver,35,476.41,Sports,2023-12-26,1,Part-Time Employed,35
149,28,Female,Phoenix,Platinum,2,371.25,Books,2023-04-02,1,Part-Time Employed,2
150,40,Female,San Antonio,Platinum,94,3436.21,Electronics,2023-07-07,0,Full-Time Employed,94
151,61,Male,Houston,Platinum,99,4624.37,Sports,2023-08-16,0,Retired,100
152,58,Male,Chicago,Bronze,15,2515.78,Home Goods,2023-07-26,1,Part-Time Employed,15
153,29,Female,San Antonio,Platinum,31,4236.06,Sports,2023-07-09,0,Full-Time Employed,31
154,20,Female,San Jose,Silver,10,3989.38,Home Goods,2023-10-30,0,Student,10
155,69,Female,San Antonio,Gold,55,3356.93,Books,2023-09-21,0,Retired,55
156,34,Male,Houston,Gold,28,4893.32,Clothing,2023-03-07,0,Full-Time Employed,28
157,50,Male,Dallas,Platinum,8,4030.72,Clothing,2023-05-20,0,Full-Time Employed,8
158,18,Female,Houston,Bronze,77,1446.74,Books,2023-01-08,0,Student,77
159,56,Male,Philadelphia,Platinum,94,3966.17,Home Goods,2023-11-08,1,Full-Time Employed,94
160,37,Female,San Antonio,Silver,37,3494.04,Clothing,2023-07-16,1,Full-Time Employed,37
161,64,Male,Phoenix,Gold,39,2057.65,Electronics,2023-11-21,0,Retired,39
162,60,Female,Houston,Silver,93,476.31,Home Goods,2023-05-04,0,Part-Time Employed,93
163,69,Male,Phoenix,Silver,86,1150.36,Clothing,2023-05-21,0,Retired,86
164,58,Female,Dallas,Gold,88,4006.47,Clothing,2023-01-17,0,Full-Time Employed,88
165,31,Female,New York,Bronze,38,1317.58,Electronics,2023-08-10,1,Part-Time Employed,38
166,48,Female,Houston,Silver,21,4989.5,Books,2023-09-29,0,Full-Time Employed,21
167,42,Male,Los Angeles,Gold,14,3500.54,Clothing,2023-07-19,0,Full-Time Employed,14
168,20,Female,Phoenix,Bronze,41,2438.39,Electronics,2023-03-01,0,Student,41
169,21,Male,San Jose,Silver,51,2895.14,Sports,2023-01-18,0,Student,51
170,48,Female,Dallas,Silver,55,3093.28,Books,2023-09-30,0,Full-Time Employed,55
171,52,Female,New York,Silver,66,4847.83,Home Goods,2023-03-07,0,Full-Time Employed,66
172,61,Female,Dallas,Silver,73,892.53,Books,2023-07-12,1,Retired,73
173,31,Female,Houston,Platinum,59,1434.74,Clothing,2023-01-29,0,Part-Time Employed,59
174,66,Male,Dallas,Bronze,74,3577.0,Clothing,2023-08-30,1,Retired,74
175,58,Female,New York,Silver,50,1275.3,Electronics,2023-12-14,0,Part-Time Employed,50
176,26,Female,San Jose,Gold,18,4369.36,Clothing,2023-11-03,0,Full-Time Employed,18
177,37,Female,Chicago,Platinum,50,1798.02,Books,2023-02-02,0,Part-Time Employed,50
178,49,Female,Houston,Gold,90,986.11,Electronics,2023-03-18,1,Part-Time Employed,90
179,26,Female,Chicago,Gold,88,333.34,Sports,2023-09-03,0,Part-Time Employed,88
180,44,Female,Houston,Bronze,58,3018.42,Sports,2023-11-21,0,Full-Time Employed,58
181,20,Male,Chicago,Gold,75,4143.88,Sports,2023-11-19,0,Student,75
182,21,Female,Chicago,Platinum,91,1441.59,Electronics,2023-12-28,0,Student,91
183,62,Male,New York,Silver,14,4595.94,Books,2023-11-25,0,Retired,14
184,32,Female,Los Angeles,Silver,32,3812.9,Electronics,2023-05-03,0,Full-Time Employed,32
185,50,Female,New York,Gold,22,400.37,Home Goods,2023-10-12,1,Part-Time Employed,22
186,22,Male,Phoenix,Bronze,98,2905.9,Electronics,2023-09-26,0,Part-Time Employed,98
187,21,Female,Houston,Bronze,2,2880.46,Clothing,2023-10-01,0,Student,2
188,63,Male,Chicago,Silver,97,1091.62,Sports,2023-12-19,1,Retired,97
189,29,Male,San Antonio,Silver,44,1739.27,Electronics,2023-12-10,0,Part-Time Employed,44
190,40,Female,Phoenix,Gold,56,2345.57,Home Goods,2023-04-19,0,Part-Time Employed,56
191,31,Female,Los Angeles,Bronze,71,335.58,Clothing,2023-06-23,1,Part-Time Employed,71
192,63,Female,Chicago,Gold,35,833.9,Books,2023-02-27,1,Retired,35
193,29,Male,Chicago,Silver,95,903.62,Electronics,2023-10-24,0,Part-Time Employed,95
194,34,Male,Houston,Silver,47,1958.26,Sports,2023-06-06,0,Part-Time Employed,47
195,42,Female,Philadelphia,Gold,91,3762.05,Clothing,2023-03-12,0,Full-Time Employed,91
196,47,Male,Philadelphia,Bronze,18,4173.39,Electronics,2023-02-20,0,Full-Time Employed,18
197,39,Female,Los Angeles,Silver,13,897.96,Clothing,2023-08-05,0,Part-Time Employed,13
198,64,Female,Houston,Silver,53,3784.34,Clothing,2023-09-13,0,Retired,53
199,43,Male,Philadelphia,Bronze,48,3386.48,Clothing,2023-06-22,0,Full-Time Employed,48
200,34,Female,Dallas,Silver,40,4464.37,Home Goods,2023-02-21,0,Full-Time Employed,40
201,37,Female,Los Angeles,Bronze,49,4847.08,Electronics,2023-06-21,0,Full-Time Employed,49
202,51,Male,San Diego,Bronze,56,709.86,Clothing,2023-07-06,0,Part-Time Employed,56
203,58,Female,Houston,Silver,26,495.3,Electronics,2023-08-17,0,Part-Time Employed,26
204,50,Male,Chicago,Gold,65,4018.68,Clothing,2023-04-12,1,Full-Time Employed,65
205,54,Female,Dallas,Silver,61,894.64,Sports,2023-08-28,1,Part-Time Employed,61
206,24,Female,Los Angeles,Silver,31,1053.42,Electronics,2023-10-13,0,Part-Time Employed,31
207,39,Female,San Jose,Silver,93,4421.98,Electronics,2023-11-04,0,Full-Time Employed,93
208,49,Male,Dallas,Platinum,88,4700.93,Sports,2023-05-04,0,Full-Time Employed,88
209,31,Male,New York,Silver,80,1660.51,Electronics,2023-04-24,0,Part-Time Employed,80
210,25,Female,Los Angeles,Gold,39,4226.62,Clothing,2023-12-17,0,Full-Time Employed,39
211,42,Female,San Diego,Gold,87,4308.4,Home Goods,2023-07-26,0,Full-Time Employed,87
212,33,Male,Philadelphia,Gold,49,3066.41,Electronics,2023-01-28,1,Full-Time Employed,49
213,59,Female,Chicago,Bronze,8,2873.83,Sports,2023-12-17,0,Part-Time Employed,8
214,36,Female,San Diego,Platinum,38,2921.61,Home Goods,2023-05-01,1,Part-Time Employed,38
215,58,Female,San Diego,Platinum,67,1576.32,Electronics,2023-09-04,0,Part-Time Employed,67
216,33,Female,Houston,Gold,78,3132.45,Clothing,2023-12-06,0,Full-Time Employed,78
217,29,Male,San Antonio,Platinum,21,1293.54,Books,2023-05-13,0,Part-Time Employed,21
218,56,Male,Dallas,Bronze,47,970.4,Books,2023-06-15,1,Part-Time Employed,47
219,65,Female,Los Angeles,Silver,94,2123.46,Home Goods,2023-05-07,0,Retired,94
220,47,Female,Phoenix,Gold,33,3558.32,Sports,2023-06-28,1,Full-Time Employed,33
221,19,Male,New York,Platinum,53,3145.0,Electronics,2023-12-11,0,Student,53
222,49,Male,Chicago,Gold,56,4827.92,Books,2023-03-06,0,Full-Time Employed,56
223,62,Female,Chicago,Gold,20,3267.63,Books,2023-12-19,0,Retired,20
224,42,Female,Dallas,Gold,57,792.44,Electronics,2023-02-03,0,Part-Time Employed,57
225,42,Female,Dallas,Gold,23,889.97,Electronics,2023-04-09,0,Part-Time Employed,23
226,21,Female,Phoenix,Silver,87,556.03,Sports,2023-03-30,1,Student,87
227,36,Male,Dallas,Gold,61,1036.75,Electronics,2023-10-18,0,Part-Time Employed,61
228,65,Male,Houston,Platinum,35,3029.96,Books,2023-02-26,0,Retired,35
229,21,Female,San Diego,Platinum,62,4207.6,Electronics,2023-03-28,1,Student,62
230,60,Male,San Antonio,Bronze,55,4479.95,Clothing,2023-04-14,1,Full-Time Employed,55
231,30,Female,Dallas,Bronze,39,2060.22,Books,2023-04-16,0,Part-Time Employed,39
232,56,Female,San Jose,Platinum,86,2837.06,Home Goods,2023-05-09,0,Part-Time Employed,86
233,53,Female,San Antonio,Gold,93,4065.08,Sports,2023-06-03,0,Full-Time Employed,93
234,40,Female,Philadelphia,Platinum,49,1629.15,Books,2023-08-10,1,Part-Time Employed,49
235,23,Female,Philadelphia,Bronze,35,3018.78,Electronics,2023-05-14,0,Full-Time Employed,35
236,41,Female,Chicago,Gold,62,953.0,Sports,2023-06-12,0,Part-Time Employed,62
237,61,Male,New York,Platinum,66,2435.05,Sports,2023-05-28,0,Retired,66
238,50,Male,Houston,Silver,55,948.05,Home Goods,2023-07-10,1,Part-Time Employed,55
239,29,Female,Chicago,Platinum,18,2365.89,Clothing,2023-01-25,0,Part-Time Employed,18
240,58,Female,San Antonio,Bronze,53,2044.42,Clothing,2023-11-10,0,Part-Time Employed,53
241,38,Female,Los Angeles,Platinum,35,2223.0,Electronics,2023-04-26,0,Part-Time Employed,35
242,28,Female,San Antonio,Gold,44,1294.19,Clothing,2023-08-21,0,Part-Time Employed,44
243,61,Male,New York,Platinum,14,766.61,Sports,2023-01-19,1,Retired,14
244,55,Female,Houston,Bronze,18,1450.76,Electronics,2023-07-26,1,Part-Time Employed,18
245,46,Female,Phoenix,Platinum,32,1273.94,Clothing,2023-04-08,0,Part-Time Employed,32
246,65,Male,Phoenix,Gold,22,3698.05,Electronics,2023-09-24,0,Retired,22
247,58,Female,Dallas,Platinum,99,3613.18,Sports,2023-04-11,0,Full-Time Employed,100
248,20,Female,New York,Bronze,2,2963.97,Sports,2023-11-26,0,Student,2
249,45,Male,Dallas,Silver,70,547.54,Books,2023-01-17,0,Part-Time Employed,70
250,37,Female,San Diego,Platinum,48,2874.68,Clothing,2023-09-16,1,Part-Time Employed,48
251,43,Male,Phoenix,Platinum,39,488.26,Clothing,2023-09-20,1,Part-Time Employed,39
252,41,Female,San Jose,Bronze,64,189.05,Home Goods,2023-08-18,1,Part-Time Employed,64
253,69,Male,San Diego,Bronze,32,1827.72,Clothing,2023-12-27,1,Retired,32
254,64,Female,San Antonio,Platinum,93,1278.67,Electronics,2023-11-25,0,Retired,93
255,38,Female,Phoenix,Bronze,69,3013.77,Electronics,2023-04-08,0,Full-Time Employed,69
256,47,Female,Houston,Bronze,38,4650.35,Sports,2023-12-01,0,Full-Time Employed,38
257,21,Male,Phoenix,Gold,8,3627.27,Electronics,2023-02-14,1,Student,8
258,53,Female,San Diego,Platinum,68,3860.07,Home Goods,2023-12-01,0,Full-Time Employed,68
259,57,Female,San Antonio,Platinum,55,4759.38,Sports,2023-10-04,0,Full-Time Employed,55
260,27,Female,Philadelphia,Silver,22,3207.05,Sports,2023-03-06,0,Full-Time Employed,22
261,27,Female,San Jose,Silver,22,2930.88,Sports,2023-03-23,1,Part-Time Employed,22
262,59,Female,Los Angeles,Bronze,58,3049.15,Clothing,2023-04-29,0,Full-Time Employed,58
263,41,Male,Phoenix,Bronze,91,4342.45,Electronics,2023-02-07,0,Full-Time Employed,91
264,21,Female,New York,Platinum,67,2001.69,Clothing,2023-09-20,0,Student,67
265,64,Male,San Antonio,Silver,93,3997.15,Books,2023-03-10,0,Retired,93
266,44,Female,Los Angeles,Platinum,48,3296.06,Sports,2023-04-20,0,Full-Time Employed,48
267,68,Female,Philadelphia,Platinum,33,1592.4,Books,2023-04-19,0,Retired,33
268,62,Male,New York,Platinum,34,167.07,Clothing,2023-01-25,1,Retired,34
269,21,Female,Philadelphia,Silver,59,1128.61,Electronics,2023-01-25,0,Student,59
270,49,Male,New York,Platinum,33,3529.94,Sports,2023-07-07,0,Full-Time Employed,33
271,27,Female,San Diego,Silver,18,2940.48,Books,2023-11-13,0,Part-Time Employed,18
272,28,Female,Phoenix,Silver,10,1445.51,Books,2024-01-02,0,Part-Time Employed,10
273,45,Female,New York,Bronze,45,2228.08,Sports,2023-11-22,0,Part-Time Employed,45
274,63,Female,Dallas,Platinum,87,3339.63,Home Goods,2023-12-09,0,Retired,87
275,25,Female,Chicago,Silver,6,722.72,Sports,2023-01-25,0,Part-Time Employed,6
276,57,Female,Dallas,Bronze,87,2218.17,Books,2023-03-11,0,Part-Time Employed,87
277,39,Female,Phoenix,Bronze,10,2141.46,Clothing,2023-07-20,0,Part-Time Employed,10
278,51,Female,Dallas,Silver,66,2758.74,Clothing,2023-10-07,0,Part-Time Employed,66
279,62,Male,Los Angeles,Gold,62,2657.38,Books,2023-10-13,0,Retired,62
280,52,Male,Phoenix,Bronze,6,1901.86,Clothing,2023-05-26,0,Part-Time Employed,6
281,52,Female,Houston,Silver,69,3837.39,Clothing,2023-12-24,0,Full-Time Employed,69
282,42,Male,San Diego,Bronze,8,429.42,Home Goods,2023-02-02,1,Part-Time Employed,8
283,51,Male,San Diego,Gold,55,274.14,Books,2023-10-04,0,Part-Time Employed,55
284,23,Female,San Jose,Platinum,20,2159.27,Electronics,2023-02-10,0,Part-Time Employed,20
285,58,Male,New York,Silver,52,4493.8,Home Goods,2023-06-25,0,Full-Time Employed,52
286,54,Female,Phoenix,Platinum,39,1460.09,Books,2023-06-26,0,Part-Time Employed,39
287,18,Female,Chicago,Bronze,14,944.32,Clothing,2023-07-05,0,Student,14
288,29,Female,San Jose,Gold,12,4648.22,Clothing,2023-09-28,0,Full-Time Employed,12
289,52,Male,Houston,Gold,88,924.29,Electronics,2023-04-05,0,Part-Time Employed,88
290,23,Female,Los Angeles,Bronze,55,1936.72,Clothing,2023-05-19,0,Part-Time Employed,55
291,34,Female,San Jose,Silver,54,3672.18,Electronics,2023-08-10,1,Full-Time Employed,54
292,26,Female,San Antonio,Silver,76,1378.53,Clothing,2023-08-31,0,Part-Time Employed,76
293,19,Female,San Jose,Bronze,41,1226.26,Sports,2023-03-18,1,Student,41
294,35,Female,Chicago,Gold,96,2048.57,Sports,2023-04-13,0,Part-Time Employed,96
295,66,Male,San Diego,Platinum,4,3958.09,Clothing,2023-08-12,0,Retired,4
296,53,Female,San Diego,Gold,62,4563.82,Electronics,2023-09-08,0,Full-Time Employed,62
