CustomerID,Age,Gender,Location,MembershipLevel,TotalPurchases,TotalSpent,FavoriteCategory,LastPurchaseDate,Churn
243,61,Male,New York,Platinum,14,766.61,Sports,2023/1/19,1
244,55,Female,Houston,Bronze,18,1450.76,Electronics,2023/7/26,1
245,46,Female,Phoenix,Platinum,32,1273.94,Clothing,2023/4/8,0
246,65,Male,Phoenix,Gold,22,3698.05,Electronics,2023/9/24,0
247,58,Female,Dallas,Platinum,99,3613.18,Sports,2023/4/11,0
248,20,Female,New York,Bronze,2,2963.97,Sports,2023/11/26,0
249,45,Male,Dallas,Silver,70,547.54,Books,2023/1/17,0
250,37,Female,San Diego,Platinum,48,2874.68,Clothing,2023/9/16,1
251,43,Male,Phoenix,Platinum,39,488.26,Clothing,2023/9/20,1
252,41,Female,San Jose,Bronze,64,189.05,Home Goods,2023/8/18,1
253,69,Male,San Diego,Bronze,32,1827.72,Clothing,2023/12/27,1
254,64,Female,San Antonio,Platinum,93,1278.67,Electronics,2023/11/25,0
255,38,Female,Phoenix,Bronze,69,3013.77,Electronics,2023/4/8,0
256,47,Female,Houston,Bronze,38,4650.35,Sports,2023/12/1,0
257,21,Male,Phoenix,Gold,8,3627.27,Electronics,2023/2/14,1
258,53,Female,San Diego,Platinum,68,3860.07,Home Goods,2023/12/1,0
259,57,Female,San Antonio,Platinum,55,4759.38,Sports,2023/10/4,0
260,27,Female,Philadelphia,Silver,22,3207.05,Sports,2023/3/6,0
261,27,Female,San Jose,Silver,22,2930.88,Sports,2023/3/23,1
262,59,Female,Los Angeles,Bronze,58,3049.15,Clothing,2023/4/29,0
263,41,Male,Phoenix,Bronze,91,4342.45,Electronics,2023/2/7,0
264,21,Female,New York,Platinum,67,2001.69,Clothing,2023/9/20,0
265,64,Male,San Antonio,Silver,93,3997.15,Books,2023/3/10,0
266,44,Female,Los Angeles,Platinum,48,3296.06,Sports,2023/4/20,0
267,68,Female,Philadelphia,Platinum,33,1592.4,Books,2023/4/19,0
268,62,Male,New York,Platinum,34,167.07,Clothing,2023/1/25,1
269,21,Female,Philadelphia,Silver,59,1128.61,Electronics,2023/1/25,0
270,49,Male,New York,Platinum,33,3529.94,Sports,2023/7/7,0
271,27,Female,San Diego,Silver,18,2940.48,Books,2023/11/13,0
272,28,Female,Phoenix,Silver,10,1445.51,Books,2024/1/2,0
273,45,Female,New York,Bronze,45,2228.08,Sports,2023/11/22,0
274,63,Female,Dallas,Platinum,87,3339.63,Home Goods,2023/12/9,0
275,25,Female,Chicago,Silver,6,722.72,Sports,2023/1/25,0
276,57,Female,Dallas,Bronze,87,2218.17,Books,2023/3/11,0
277,39,Female,Phoenix,Bronze,10,2141.46,Clothing,2023/7/20,0
278,51,Female,Dallas,Silver,66,2758.74,Clothing,2023/10/7,0
279,62,Male,Los Angeles,Gold,62,2657.38,Books,2023/10/13,0
280,52,Male,Phoenix,Bronze,6,1901.86,Clothing,2023/5/26,0
281,52,Female,Houston,Silver,69,3837.39,Clothing,2023/12/24,0
282,42,Male,San Diego,Bronze,8,429.42,Home Goods,2023/2/2,1
283,51,Male,San Diego,Gold,55,274.14,Books,2023/10/4,0
284,23,Female,San Jose,Platinum,20,2159.27,Electronics,2023/2/10,0
285,58,Male,New York,Silver,52,4493.8,Home Goods,2023/6/25,0
286,54,Female,Phoenix,Platinum,39,1460.09,Books,2023/6/26,0
287,18,Female,Chicago,Bronze,14,944.32,Clothing,2023/7/5,0
288,29,Female,San Jose,Gold,12,4648.22,Clothing,2023/9/28,0
289,52,Male,Houston,Gold,88,924.29,Electronics,2023/4/5,0
290,23,Female,Los Angeles,Bronze,55,1936.72,Clothing,2023/5/19,0
291,34,Female,San Jose,Silver,54,3672.18,Electronics,2023/8/10,1
292,26,Female,San Antonio,Silver,76,1378.53,Clothing,2023/8/31,0
293,19,Female,San Jose,Bronze,41,1226.26,Sports,2023/3/18,1
294,35,Female,Chicago,Gold,96,2048.57,Sports,2023/4/13,0
295,66,Male,San Diego,Platinum,4,3958.09,Clothing,2023/8/12,0
296,53,Female,San Diego,Gold,62,4563.82,Electronics,2023/9/8,0
297,45,Male,Phoenix,Gold,3,253.33,Electronics,2023/3/21,0
298,58,Female,Dallas,Gold,72,909.03,Home Goods,2023/11/12,0
299,54,Female,San Diego,Bronze,3,4797.15,Sports,2023/8/5,1
300,66,Male,San Diego,Platinum,26,3004.68,Home Goods,2023/10/15,1
301,43,Female,Chicago,Gold,47,2801.91,Electronics,2023/1/8,0
302,21,Male,San Antonio,Bronze,6,4086.36,Clothing,2023/7/18,0
303,57,Female,Houston,Silver,17,294.94,Sports,2023/8/21,1
304,53,Female,Los Angeles,Silver,9,167.8,Books,2023/5/6,0
305,68,Female,Phoenix,Gold,82,4840.72,Clothing,2023/12/9,0
306,48,Female,Los Angeles,Gold,93,4160,Electronics,2023/4/1,0
307,47,Female,New York,Platinum,79,3762.17,Sports,2023/4/23,0
308,67,Female,New York,Gold,57,862.93,Electronics,2023/4/18,1
309,51,Male,San Jose,Silver,7,2435.36,Electronics,2023/12/8,0
310,36,Male,Phoenix,Bronze,78,4692.74,Books,2023/10/5,0
311,35,Female,Houston,Bronze,57,4674.64,Electronics,2023/10/2,0
312,47,Male,Houston,Platinum,93,145.31,Electronics,2023/2/3,0
313,38,Female,Phoenix,Bronze,4,3787.21,Electronics,2023/3/6,0
314,20,Female,Dallas,Platinum,60,130.57,Books,2023/1/13,1
315,23,Female,Phoenix,Gold,5,4923.08,Home Goods,2023/9/16,0
316,55,Female,San Diego,Bronze,1,2143.14,Electronics,2023/9/24,0
317,30,Male,Los Angeles,Platinum,76,4870.24,Electronics,2023/9/27,0
318,62,Male,Houston,Platinum,39,1901.96,Clothing,2023/7/18,0
319,20,Male,New York,Gold,7,1536.62,Sports,2023/12/5,1
320,65,Male,Houston,Silver,21,1649.83,Sports,2023/11/1,0
321,45,Male,Dallas,Bronze,71,3680.33,Sports,2023/4/30,1
322,39,Male,San Antonio,Gold,17,1078.4,Sports,2023/12/2,0
323,57,Male,Houston,Bronze,65,4333.88,Sports,2023/9/27,1
324,57,Female,San Diego,Silver,68,2993.81,Clothing,2023/3/13,0
325,29,Male,San Antonio,Bronze,70,4852.56,Books,2023/6/16,0
326,40,Male,San Antonio,Platinum,62,4936.72,Sports,2023/5/31,0
327,48,Male,New York,Bronze,40,1007.39,Clothing,2023/5/9,0
328,35,Female,Los Angeles,Platinum,60,4783.33,Clothing,2023/7/21,0
329,24,Male,San Jose,Silver,81,328.04,Electronics,2023/4/24,0
330,25,Female,New York,Platinum,90,236.53,Sports,2023/6/24,1
331,36,Female,Philadelphia,Gold,95,4724.94,Clothing,2023/2/17,0
332,46,Female,San Jose,Platinum,28,4815.74,Clothing,2023/10/31,0
333,61,Female,Chicago,Platinum,76,821.51,Clothing,2023/3/10,0
334,37,Male,New York,Gold,65,2267.84,Clothing,2023/6/10,1
335,67,Female,San Jose,Platinum,34,2521.05,Home Goods,2023/4/12,1
336,59,Male,Houston,Platinum,26,4315.38,Clothing,2023/1/11,0
337,47,Female,Los Angeles,Gold,53,3176.79,Books,2023/1/27,0
338,64,Female,Philadelphia,Platinum,15,3895.38,Books,2023/4/18,0
339,39,Male,New York,Platinum,49,2476.97,Sports,2023/10/11,0
340,27,Male,San Antonio,Bronze,35,3277.23,Sports,2023/2/23,0
341,43,Female,San Jose,Bronze,41,3703.51,Sports,2023/8/31,0
342,68,Male,Dallas,Platinum,51,3715.62,Clothing,2023/11/15,0
343,50,Male,Phoenix,Gold,63,108.52,Sports,2023/11/10,0
344,45,Female,Dallas,Gold,44,589.55,Sports,2023/6/13,0
345,27,Female,Dallas,Bronze,39,1881.94,Books,2023/2/19,1
346,46,Female,Los Angeles,Gold,20,399.87,Sports,2023/9/3,0
347,61,Female,Philadelphia,Gold,43,1976.65,Electronics,2023/3/19,0
348,35,Female,Chicago,Bronze,99,2008.88,Clothing,2023/10/1,1
349,59,Male,Phoenix,Silver,22,4609.14,Clothing,2023/5/22,0
350,18,Male,Dallas,Bronze,21,2878.65,Clothing,2023/12/18,0
351,40,Female,Phoenix,Gold,91,3561.12,Electronics,2023/3/30,0
352,34,Female,San Jose,Platinum,36,4447.27,Home Goods,2023/1/20,0
353,60,Female,Los Angeles,Gold,28,2266.43,Home Goods,2023/7/2,1
354,54,Female,San Diego,Platinum,4,109.61,Books,2023/12/21,0
355,48,Female,New York,Platinum,90,1498.15,Home Goods,2023/6/3,0
356,42,Male,New York,Platinum,8,4089.38,Electronics,2023/4/2,0
357,21,Female,Phoenix,Silver,5,4519.02,Books,2023/2/17,1
358,69,Male,Dallas,Silver,5,1822.4,Clothing,2023/12/13,0
359,26,Female,Chicago,Bronze,54,1540.56,Sports,2023/7/28,0
360,45,Male,Phoenix,Silver,10,4630.08,Clothing,2023/1/8,0
361,47,Male,San Antonio,Platinum,69,1820.26,Sports,2023/9/22,0
362,64,Female,San Antonio,Gold,34,3296,Sports,2023/2/24,1
363,41,Male,San Antonio,Gold,50,1473.52,Clothing,2023/12/17,1
364,50,Female,Chicago,Platinum,75,579.8,Electronics,2023/10/19,0
365,37,Female,Phoenix,Gold,24,2556.06,Clothing,2023/3/17,0
366,26,Female,San Antonio,Gold,58,4623.84,Electronics,2023/11/29,1
367,25,Male,Philadelphia,Silver,97,3131.34,Home Goods,2023/3/20,1
368,41,Female,Phoenix,Platinum,78,1123.25,Home Goods,2023/4/13,0
369,31,Female,New York,Gold,22,3443.9,Clothing,2023/1/12,0
370,35,Male,Houston,Gold,93,3864.97,Electronics,2023/8/2,0
371,18,Male,New York,Gold,24,1671.73,Clothing,2023/5/23,0
372,29,Female,San Diego,Platinum,6,2840.13,Electronics,2023/3/13,0
373,46,Female,Phoenix,Platinum,62,3441.57,Electronics,2023/5/27,0
374,54,Female,Houston,Bronze,3,885.73,Clothing,2023/7/16,0
